1,bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,grass,poison,overgrow,Null,chlorophyll,45,49,49,65,65,45,1,1,0,0,0,0
2,ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,grass,poison,overgrow,Null,chlorophyll,60,62,63,80,80,60,1,1,0,0,0,0
3,venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,grass,poison,overgrow,Null,chlorophyll,80,82,83,100,100,80,1,1,0,0,0,0
4,charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,fire,Null,blaze,Null,solar-power,39,52,43,60,50,65,1,1,0,0,0,0
5,charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,fire,Null,blaze,Null,solar-power,58,64,58,80,65,80,1,1,0,0,0,0
6,charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,fire,flying,blaze,Null,solar-power,78,84,78,109,85,100,1,1,0,0,0,0
7,squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,water,Null,torrent,Null,rain-dish,44,48,65,50,64,43,1,1,0,0,0,0
8,wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,water,Null,torrent,Null,rain-dish,59,63,80,65,80,58,1,1,0,0,0,0
9,blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,water,Null,torrent,Null,rain-dish,79,83,100,85,105,78,1,1,0,0,0,0
10,caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,bug,Null,shield-dust,Null,run-away,45,30,35,20,20,45,1,0,0,0,0,0
11,metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,bug,Null,shed-skin,Null,Null,50,20,55,25,25,30,1,0,0,0,0,0
12,butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,bug,flying,compound-eyes,Null,tinted-lens,60,45,50,90,80,70,1,0,0,0,0,0
13,weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,bug,poison,shield-dust,Null,run-away,40,35,30,20,20,50,1,0,0,0,0,0
14,kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,bug,poison,shed-skin,Null,Null,45,25,50,25,25,35,1,0,0,0,0,0
15,beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,bug,poison,swarm,Null,sniper,65,90,40,45,80,75,1,0,0,0,0,0
16,pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,1,0,0,0,0,0
17,pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,normal,flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,1,0,0,0,0,0
18,pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,normal,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,1,0,0,0,0,0
19,rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,normal,Null,run-away,guts,hustle,30,56,35,25,35,72,1,0,0,0,0,0
20,raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,normal,Null,run-away,guts,hustle,55,81,60,50,70,97,1,0,0,0,0,0
21,spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,normal,flying,keen-eye,Null,sniper,40,60,30,31,31,70,1,0,0,0,0,0
22,fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,normal,flying,keen-eye,Null,sniper,65,90,65,61,61,100,1,0,0,0,0,0
23,ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,poison,Null,intimidate,shed-skin,unnerve,35,60,44,40,54,55,1,0,0,0,0,0
24,arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,poison,Null,intimidate,shed-skin,unnerve,60,95,69,65,79,80,1,0,0,0,0,0
25,pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,electric,Null,static,Null,lightning-rod,35,55,40,50,50,90,1,1,0,0,0,0
26,raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,electric,Null,static,Null,lightning-rod,60,90,55,90,80,110,1,1,0,0,0,0
27,sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,ground,Null,sand-veil,Null,sand-rush,50,75,85,20,30,40,1,0,0,0,0,0
28,sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,ground,Null,sand-veil,Null,sand-rush,75,100,110,45,55,65,1,0,0,0,0,0
29,nidoran-f,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,poison,Null,poison-point,rivalry,hustle,55,47,52,40,40,41,1,0,0,0,0,0
30,nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,poison,Null,poison-point,rivalry,hustle,70,62,67,55,55,56,1,0,0,0,0,0
31,nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,poison,ground,poison-point,rivalry,sheer-force,90,92,87,75,85,76,1,0,0,0,0,0
32,nidoran-m,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,poison,Null,poison-point,rivalry,hustle,46,57,40,40,40,50,1,0,0,0,0,0
33,nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,poison,Null,poison-point,rivalry,hustle,61,72,57,55,55,65,1,0,0,0,0,0
34,nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,poison,ground,poison-point,rivalry,sheer-force,81,102,77,85,75,85,1,0,0,0,0,0
35,clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,fairy,Null,cute-charm,magic-guard,friend-guard,70,45,48,60,65,35,1,0,0,0,0,0
36,clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,fairy,Null,cute-charm,magic-guard,unaware,95,70,73,95,90,60,1,0,0,0,0,0
37,vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,fire,Null,flash-fire,Null,drought,38,41,40,50,65,65,1,0,0,0,0,0
